Professional/Strategic Speech	01:10:00 PM	02:40:00 PM	McManimon (Susan J.)
Business Forensic Application	09:45:00 AM	11:15:00 AM	McMullen (Dorothy A.)
Fraud Exam & Bus Forensics	01:10:00 PM	02:40:00 PM	McMullen (Dorothy A.)
Fraud Exam & Bus Forensics	02:50:00 PM	04:20:00 PM	McMullen (Dorothy A.)
Freshman Seminar II	11:30:00 AM	12:30:00 PM	Mehlhorn (Christine D.)
Justice	01:10:00 PM	02:40:00 PM	Mendilow (Jonathan)
Third World Politics	02:50:00 PM	04:20:00 PM	Mendilow (Jonathan)
Third World Politics	02:50:00 PM	04:20:00 PM	Mendilow (Jonathan)
Terrorism Revolut & Polit Viol	06:30:00 PM	09:30:00 PM	Mendilow (Jonathan)
Terrorism Revolut & Polit Viol	06:30:00 PM	09:30:00 PM	Mendilow (Jonathan)
Terrorism Revolut & Polit Viol	06:30:00 PM	09:30:00 PM	Mendilow (Jonathan)
Terrorism Revolut & Polit Viol	06:30:00 PM	09:30:00 PM	Mendilow (Jonathan)
Terrorism Revolut & Polit Viol	06:30:00 PM	09:30:00 PM	Mendilow (Jonathan)
Terrorism Revolut & Polit Viol	06:30:00 PM	09:30:00 PM	Mendilow (Jonathan)
Teach Sci  Soc Std & Arts N-8	11:00:00 AM	02:00:00 PM	Messersmith (James)
Social Impact of Rock and Roll	02:50:00 PM	04:20:00 PM	Millen (Jonathan H.)
Globl Supply Chn Mgt: External	09:45:00 AM	11:15:00 AM	Miller (Tan C.)
Intro to Global Supp Chain Mgt	01:10:00 PM	02:40:00 PM	Miller (Tan C.)
Acting II: Scene Study	02:50:00 PM	04:20:00 PM	Mills (Miriam N.)
Women In Literature	01:10:00 PM	02:40:00 PM	Morse (Mary L.)
Women In Literature	01:10:00 PM	02:40:00 PM	Morse (Mary L.)
SpTop:Environ Movement in Amer	02:50:00 PM	04:20:00 PM	Mosto (Patricia)
Writing for Broadcast	08:00:00 AM	09:30:00 AM	Mozes (John)
Introduction to Research in Ps	09:45:00 AM	11:15:00 AM	Musumeci-Szabo (Tamara J.)
Introduction to Research in Ps	02:50:00 PM	04:20:00 PM	Musumeci-Szabo (Tamara J.)
Art and Society	09:45:00 AM	11:15:00 AM	Naar (Harry I.)
Design	01:10:00 PM	04:10:00 PM	Naar (Harry I.)
Design	01:10:00 PM	04:10:00 PM	Naar (Harry I.)
Fundamentals of Painting	01:10:00 PM	04:10:00 PM	Naar (Harry I.)
Fundamentals of Painting	01:10:00 PM	04:10:00 PM	Naar (Harry I.)
Expository Writing	02:50:00 PM	04:20:00 PM	Naik (Akhila)
French IV	09:10:00 AM	10:10:00 AM	Natan (Stephane)
French I	10:20:00 AM	11:20:00 AM	Natan (Stephane)
Mask & Reality in French Theat	11:30:00 AM	12:30:00 PM	Natan (Stephane)
SpTop: B Wilder in Hollywood	01:10:00 PM	02:40:00 PM	Neelakanta (Vanita)
17th-Century Literature	02:50:00 PM	04:20:00 PM	Neelakanta (Vanita)
HONORS:Marketing Principles	09:45:00 AM	11:15:00 AM	Newman (Cynthia M.)
SelTop:HONORS:Mkt & the Law	01:10:00 PM	02:40:00 PM	Newman (Cynthia M.)|O'Sullivan-Gavin (Susan)
Spec. Topics Honors: Mkt & Law	01:10:00 PM	02:40:00 PM	Newman (Cynthia M.)|O'Sullivan-Gavin (Susan)
Marketing Management Seminar	02:50:00 PM	04:20:00 PM	Newman (Larry M.)
Career Plan & Perspective I	11:30:00 AM	12:30:00 PM	Nicolosi (Lauren M.)
Career Plan & Perspective I	11:30:00 AM	12:30:00 PM	Nicolosi (Lauren M.)
Career Plan & Perspective I	11:30:00 AM	12:30:00 PM	Nicolosi (Lauren M.)
Statistical Methods I	01:10:00 PM	02:40:00 PM	Nygren (Lan M.)
Expository Writing	08:00:00 AM	09:00:00 AM	O'Neil (Robert)
Expository Writing	09:10:00 AM	10:10:00 AM	O'Neil (Robert)
Managerial Uses of Accounting	09:45:00 AM	11:15:00 AM	O'Reilly-Allen (Margaret)
Social & Legal Environment Bus	09:45:00 AM	11:15:00 AM	O'Sullivan-Gavin (Susan)
Sight Singing for MT	09:10:00 AM	10:10:00 AM	Onofrio (Susan L.)
Sight Singing for MT	10:20:00 AM	11:20:00 AM	Onofrio (Susan L.)
Choir	11:30:00 AM	12:30:00 PM	Orr (Philip)
Beginning Piano I	01:10:00 PM	02:10:00 PM	Orr (Philip)
Beginning Piano I	01:10:00 PM	02:10:00 PM	Orr (Philip)
World History Since 1500	01:10:00 PM	02:40:00 PM	Osborne (Anne R.)
Teaching in the High School	08:20:00 AM	11:20:00 AM	Pearcy (Mark)
Contexts Of Schoolng	11:00:00 AM	02:10:00 PM	Pearcy (Mark)
Research Writing	08:00:00 AM	09:00:00 AM	Peters (Pearlie M.)
Multi-Ethnic Lit in America	09:10:00 AM	10:10:00 AM	Peters (Pearlie M.)
